These are the game logs for actions taken and resultant game state
100,George,37,Wriggles,3,0
100,George,37,Wriggles,3,1
70,George,37,Wriggles,3,2
70,George,37,Wriggles,-7,3
70,George,37,Wriggles,-7,4
70,George,37,Wriggles,-7,5
70,George,37,Wriggles,-7,6
100,George,37,Wriggles,3,0
100,George,37,Wriggles,3,0
100,George,37,Wriggles,3,1
100,George,37,Wriggles,3,2
70,George,37,Wriggles,3,3
70,George,37,Wriggles,3,4
70,George,37,Wriggles,3,5
70,George,37,Wriggles,3,6
70,George,37,Wriggles,3,7
70,George,37,Wriggles,3,8
70,George,37,Wriggles,3,9
70,George,37,Wriggles,3,10
68,George,37,Wriggles,3,11
66,George,27,Wriggles,3,12
64,George,17,Wriggles,3,13
62,George,7,Wriggles,3,14
62,George,-3,Wriggles,3,15
62,George,-3,Wriggles,3,16
62,George,-3,Wriggles,3,17
32,George,-3,Wriggles,3,18
32,George,-3,Wriggles,-7,19
32,George,-3,Wriggles,-7,20
100,George,37,Wriggles,3,0
100,George,37,Wriggles,3,1
100,George,37,Wriggles,3,0
70,George,37,Wriggles,3,1
70,George,37,Wriggles,-7,2
70,George,37,Wriggles,-7,3
70,George,37,Wriggles,3,0
70,George,37,Wriggles,-7,1
70,George,37,Wriggles,-7,2
70,George,37,Wriggles,-7,3
70,George,37,Wriggles,-7,4
70,George,37,Wriggles,-7,5
70,George,37,Wriggles,-7,6
70,George,37,Wriggles,-7,7
70,George,37,Wriggles,-7,8
70,George,37,Wriggles,-7,9
70,George,37,Wriggles,-7,10
70,George,37,Wriggles,-7,11
70,George,37,Wriggles,-7,12
100,George,37,Wriggles,3,0
100,George,37,Wriggles,3,1
100,George,37,Wriggles,3,0
70,George,37,Wriggles,3,0
70,George,37,Wriggles,-7,1
70,George,37,Wriggles,-7,2
70,George,37,Wriggles,-7,3
70,George,37,Wriggles,-7,4
70,George,37,Wriggles,-7,5
70,George,37,Wriggles,-7,6
70,George,37,Wriggles,-7,7
70,George,37,Wriggles,-7,8
70,George,37,Wriggles,-7,9
70,George,37,Wriggles,-7,10
70,George,37,Wriggles,-7,11
70,George,37,Wriggles,-7,12
70,George,37,Wriggles,-7,13
70,George,37,Wriggles,-7,14
100,George,37,Wriggles,3,0
100,George,37,Wriggles,3,1
70,George,37,Wriggles,3,2
70,George,37,Wriggles,-7,3
70,George,37,Wriggles,-7,4
70,George,37,Wriggles,-7,5
70,George,37,Wriggles,-7,6
68,George,37,Wriggles,-7,7
66,George,37,Wriggles,-7,8
66,George,37,Wriggles,-7,9
66,George,37,Wriggles,-7,10
64,George,37,Wriggles,-7,11
62,George,17,Wriggles,-7,12
62,George,-3,Wriggles,-7,13
62,George,-3,Wriggles,-7,14
